Timeframe,Model1,Model2,DM_stat,p_value,Winner
BTC_4h,Naïve,ARIMA,0.13036104130837858,0.8962862145188755,ARIMA
BTC_4h,Naïve,Random Forest,-1.6476570710419578,0.09948808071212034,Naïve
BTC_4h,Naïve,XGBoost,-1.8171755770104878,0.06925214746496282,Naïve
BTC_4h,Naïve,LSTM,-1.8207829672471931,0.06870167383920076,Naïve
BTC_4h,ARIMA,Random Forest,-1.6591864084581804,0.09714313236233507,ARIMA
BTC_4h,ARIMA,XGBoost,-1.952019749984332,0.050993540538363566,ARIMA
BTC_4h,ARIMA,LSTM,-1.8302247149780029,0.06727790915345375,ARIMA
BTC_4h,Random Forest,XGBoost,1.4026646876532782,0.16078109739009383,XGBoost
BTC_4h,Random Forest,LSTM,0.8370493474306095,0.4026062261444511,LSTM
BTC_4h,XGBoost,LSTM,-1.2183454984170161,0.22315218941869586,XGBoost
BTC_1h,Naïve,ARIMA,-25.384334112601827,7.284495383265315e-140,Naïve
BTC_1h,Naïve,Random Forest,-1.085043621818553,0.27791586113088906,Naïve
BTC_1h,Naïve,XGBoost,-1.8035988549320074,0.07130976803867971,Naïve
BTC_1h,Naïve,LSTM,-2.0987406377175084,0.035852702380167085,Naïve
BTC_1h,ARIMA,Random Forest,7.974036916640865,1.6205918694189902e-15,Random Forest
BTC_1h,ARIMA,XGBoost,12.498260122921263,1.048430913863341e-35,XGBoost
BTC_1h,ARIMA,LSTM,10.107145671522696,5.890274430877896e-24,LSTM
BTC_1h,Random Forest,XGBoost,0.006143750416568536,0.9950980905363084,XGBoost
BTC_1h,Random Forest,LSTM,-0.332638220160863,0.7394109947087029,Random Forest
BTC_1h,XGBoost,LSTM,-0.4469462186659438,0.654918896950363,XGBoost
BTC_15m,Naïve,LSTM,-2.428295840918911,0.015172222942587797,Naïve
