Model,Ticker,Horizon,RMSE,RMSE_CI_low,RMSE_CI_high,MAE,R2,DA,DA_CI_low,DA_CI_high,Timeframe
Naïve,BTC,1d,0.025150958338903143,0.023413349272066723,0.026967561987850445,0.01793662967127504,-0.0002889017431062513,0.0,0.0,0.0,1d
ARIMA,BTC,1d,0.025134789192783915,0.023396942865779192,0.026963767890045447,0.017945718820513573,0.0009968240930604555,0.5038759689922481,0.4715762273901809,0.5387596899224806,1d
Random Forest,BTC,1d,0.025625894356594497,0.023963049131527196,0.027487054726773194,0.018490852929643975,-0.03842333175939561,0.4844961240310077,0.45219638242894056,0.5194121447028424,1d
XGBoost,BTC,1d,0.02520310476854872,0.023490214161448753,0.027033266989655014,0.0179940789613559,-0.004441075058555288,0.5,0.4664082687338501,0.5335917312661499,1d
LSTM,BTC,1d,0.025785843787878928,0.024041719136906784,0.027647107530108964,0.018659089937969428,-0.051426864688147944,0.5051679586563308,0.4676679586563308,0.541343669250646,1d
Naïve,BTC_4h,1,0.010344833800403283,0.009918480320024398,0.010754083025524509,0.006914000568362385,-0.00010819441313647538,0.0,0.0,0.0,4h
ARIMA,BTC_4h,1,0.010344573772370587,0.00992011250747103,0.010755219681631739,0.006911581017019856,-5.791754974660002e-05,0.5133457479826194,0.4994775501758742,0.5284502379474446,4h
Random Forest,BTC_4h,1,0.01046033700335126,0.010053549574701344,0.01088320973723486,0.006956695640737204,-0.022565893759463496,0.5083798882681564,0.49471860128284706,0.5226619077177737,4h
XGBoost,BTC_4h,1,0.010362215353919915,0.009936394480270824,0.010769701667363,0.006920609654784668,-0.003471813085003994,0.5150010345541072,0.5009259259259259,0.5295003103662322,4h
Naïve,BTC_1h,1,0.005244982756207474,0.005121469488515101,0.005372600096741095,0.003415280210696889,-2.9056845772368334e-05,0.0,0.0,0.0,1h
ARIMA,BTC_1h,1,0.006719266109392992,0.006571392289329825,0.006876896140913046,0.0044119769423223345,-0.641225182432813,0.5229846424323905,0.5160305718560464,0.5298377025563957,1h
Random Forest,BTC_1h,1,0.005431605638368871,0.005158693122566042,0.005828586097935784,0.003428521896950956,-0.07245962334802325,0.5063860592584932,0.49924827960677065,0.5139122466894889,1h
XGBoost,BTC_1h,1,0.005430395701015822,0.005233714172233298,0.005672554203813114,0.0034347923376005555,-0.07198187716485993,0.5080407466776979,0.5009559685987983,0.5154104388402794,1h
Naïve,BTC_15m,1,0.0026531216993303853,0.0026161163431605637,0.0026932261552214272,0.0017277421768302863,-6.9870416865569496e-06,0.0,0.0,0.0,15m
LSTM,BTC_4h,1,0.010402098161477871,0.00997472886683543,0.0108245833523892,0.006946121913148613,-0.011211141048533602,0.4992758121249741,0.4856196979102007,0.5125181046968756,4h
LSTM,BTC_1h,1,0.005500179773009752,0.005261355465098191,0.0057682767390877,0.0034509398421487436,-0.09971021421636417,0.4976989503076684,0.4909250502201124,0.5047065667011376,1h
LSTM,BTC_15m,1,0.002665556055492343,0.0026265689651348736,0.0027087388912068098,0.0017310981237687831,-0.009402395648757889,0.4990559937928359,0.49547379586781126,0.5024191996492545,15m
