Ticker,Horizon,Model1,Model2,DM_h5,p_h5,DM_h1,p_h1,p_anexo_h1,Winner_h5
AAPL,5d,Naïve,LSTM,-1.3482553646031192,0.1781677819876528,-2.8218957279764703,0.0049581724352135,0.0188633197369911,
AAPL,5d,Naïve,Random Forest,-0.2437211426125146,0.8075436643821908,-0.4571551982543531,0.6477518998506449,,
AAPL,5d,Naïve,XGBoost,0.362279081030972,0.717291813730089,0.7592314776206839,0.448060787617116,,
AAPL,5d,Random Forest,LSTM,-1.0855123758554868,0.2782016557360977,-2.296088454853638,0.0220707871717211,0.0364312075226472,
AAPL,5d,Random Forest,XGBoost,0.6397693377057629,0.5226065115616814,1.0810267207131612,0.2801901998446956,,
AAPL,5d,XGBoost,LSTM,-1.2503284767848128,0.2117462905471465,-2.676227636163432,0.007682369432802,0.0167908782869568,
JPM,5d,Naïve,LSTM,-1.4271106643287037,0.1541587469894324,-2.9096750382118057,0.0037757343295967,0.0172471473442627,
JPM,5d,Naïve,Random Forest,-1.415508031475439,0.1575287565792792,-2.6974348979219536,0.0072184876423143,0.0072184876423143,
JPM,5d,Naïve,XGBoost,1.105590497049843,0.2694240544548864,2.381642367429736,0.0176007449327669,0.0176007449327679,
JPM,5d,Random Forest,LSTM,0.259579692090492,0.7952925484722554,0.535579532381148,0.5924821934511388,,
JPM,5d,Random Forest,XGBoost,1.4741251892905871,0.1410636577433642,2.8322969798462045,0.0048039110293651,0.0048039110293647,
JPM,5d,XGBoost,LSTM,-1.7066423561120163,0.0884960871110978,-3.3271306513991363,0.0009406404442098,0.0014059383725538,
JNJ,5d,Naïve,LSTM,-2.479559406424028,0.0134764260593893,-5.325943860490142,1.5088552603780368e-07,3.507601518824128e-06,Naïve
JNJ,5d,Naïve,Random Forest,-1.081411829368902,0.280025037244713,-2.047340249999114,0.0411364982138168,0.0411364982138132,
JNJ,5d,Naïve,XGBoost,1.306446181825026,0.1919897233662819,2.910262181074747,0.0037690772561749,0.0037690772561752,
JNJ,5d,Random Forest,LSTM,-1.452,0.1471,,0.0047,0.0146,
JNJ,5d,Random Forest,XGBoost,1.5819969493776231,0.1142701893029285,,,,
JNJ,5d,XGBoost,LSTM,-2.678,0.0077,,0.0,0.0,XGBoost
XOM,5d,Naïve,LSTM,-1.622,0.1054,,0.0023,0.042,
XOM,5d,Naïve,Random Forest,-2.314854284833972,0.021009433124168288,-4.856548524460963,1.5827705530664168e-06,1.5827705530664168e-06,Naïve
XOM,5d,Naïve,XGBoost,1.3134409776849458,0.18961362505807433,2.8886914268217305,0.004029779873519964,0.0040297798735199,
XOM,5d,Random Forest,LSTM,1.495,0.1354,,0.0073,0.0045,
XOM,5d,Random Forest,XGBoost,2.4297701055046717,0.015445880975592668,5.121914209144804,4.267972110557325e-07,4.267972110557325e-07,XGBoost
XOM,5d,XGBoost,LSTM,-2.004,0.0456,,0.0002,0.0109,XGBoost
BTC,5d,Naïve,LSTM,-2.497,0.0127,,0.0,0.0,Naïve
BTC,5d,Naïve,Random Forest,-3.4350638136682274,0.000624011812274883,-6.557330984321744,1.0016054314803435e-10,1.0016054314803435e-10,Naïve
BTC,5d,Naïve,XGBoost,-0.8624226490501302,0.38872245248914994,-1.5620247667550633,0.11869143787092051,,
BTC,5d,Random Forest,LSTM,2.313,0.021,,0.0,0.0264,LSTM
BTC,5d,Random Forest,XGBoost,3.3134084580727423,0.0009645533048723972,6.253449323035825,6.638711162365453e-10,6.638711162365453e-10,XGBoost
BTC,5d,XGBoost,LSTM,-2.272,0.0233,,0.0002,0.0,XGBoost
