Ticker,Horizon,RMSE_mean,RMSE_std,DA_mean,DA_std
AAPL,1d,0.017632267656457385,2.855031141197337e-05,0.5355297157622738,0.002417091335125289
JPM,1d,0.01572613849276087,2.3979892236297383e-05,0.5642530984996738,0.010638947443118102
JNJ,1d,0.01119122530067434,5.2628274022396975e-05,0.4911937377690802,0.04163593841417602
XOM,1d,0.014267544587760117,0.00031592986801181526,0.5,0.011033737580104409
BTC,1d,0.02539743394931046,0.0001312641321109578,0.49310938845822566,0.002654786392320825
AAPL,5d,0.04116902139854148,0.00028333822612873125,0.5390070921985816,0.008698089982741497
JPM,5d,0.0347413844341801,0.00016479848280459198,0.57421875,0.023164644368043222
JNJ,5d,0.024149164357372185,0.0003050100419114596,0.4944553163731246,0.011336038615122503
XOM,5d,0.03297386380493849,0.00040746399916730797,0.4740882917466411,0.02902443051110365
BTC,5d,0.05453797049364781,0.000564893003183915,0.5185185185185185,0.019172979577564243
